Country,Data
Netherlands,95
South Korea,94
New Zealand,93.9
Sweden,93.8
United Arab Emirates,93.4
United Kingdom,92.2
Switzerland,92
Denmark,92
Canada,91.9
Spain,91.6
Germany,91.5
Hong Kong,91.4
Israel,91.3
Saudi Arabia,90.8
Australia,89.3
Belgium,88.6
France,88.3
Ireland,88.1
Singapore,88
Taiwan,87.3
Japan,86.7
Austria,86.1
Malaysia,84.1
Russia,80.2
United States,79.4
Argentina,78.1
Poland,77
Italy,74.9
Greece,74.6
Romania,73.9
Portugal,73.7
Turkey,72.9
Brazil,70.6
Vietnam,68.4
Mexico,68
Morocco,66.6
Thailand,63.3
Colombia,63.1
Philippines,61
Indonesia,55
South Africa,53.3
Egypt,53.3
India,37
Nigeria,26.4
Kenya,23.2
